"candidata"|"ofensa"|"canddef"|"...4"|"contra ela"|"teor"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Jacksmarquess Satanós é o lula  pensa bem   Roubou bilhões dos pobres  tem um argumento estranho mas mortes de Celso Daniel  mas a  maragabrilli te explica melhor  Lula sucateou o Brasil  quase destruí Minas Gerais      Fala como se tudo o que fez fosse passado  um apoiador de comunistas "|"Mara Gabrilli"|NA|"não"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" UOLNoticias    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co Acyxc6bEXS"|"Mara Gabrilli"|NA|"não"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Que vergonha dessa senhora  Não esperava tamanha covardia "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   passaró a maior vergonha  Postaremos nas redes os vídeos da  maragabrilli acusando Lula de ser o mandante do assassinato do Celso Daniel  Quer dizer que elas fazem QUALQUER COISA PELO PODER  Duas Senadoras que JAMAIS irão retornar ao Legislativo  Pra que "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" freire roberto O Brasil estó acorrentado aos grilhões perversos da corrupóão e do crime organizado  Foróa   SimonePresidente15 e  maragabrilli   precisamos das Senhoras para tirar o Brasil do caos e da desesperanóa  A luta seró grande  mas precisamos ter coragem e esperanóa "|"Mara Gabrilli"|NA|"não"|"apoio à candidatura delas"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Sua HIPóCRITA  A Senhora sabe muito bem que votar em branco é eleger o Luladrão  Sua falsa    Seu falecido pai deve estar muito feliz com sua atitude  A Senhora ENVERGONHA a classe feminina "|"Mara Gabrilli"|NA|"sim"|"vergonha por voto branco"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Inclusão  ciência e combate Ã  corrupóão é tudo o que não vemos na conduta de um dos candidatos   Não existe sensatez na omissão diante do descalabro  Que pena que a senhora não tem a coragem de assumir a defesa da democracia e do povo brasileiro "|"Mara Gabrilli"|NA|"sim"|"covardia por voto branco"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Estadao    A razão é a fonte de luz para o bom governante  porquanto todas as questões devem ser resolvidas com racionalidade  em harmonia com a moralidade   SimonePresidente15 e  maragabrilli sempre seguirão a rotina da razão para permanecer no caminho certo e fazer as coisas certas "|"Mara Gabrilli"|NA|"nao"|"apoio à candidatura delas"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" cirogomes  gisellebezerra Ciro  o ex presidiório foi condenado e preso  ó um ladrão comprovado  Com  maragabrilli o acusando de ser o mandante de Celso Daniel  Espero que o sr  coloque a mão na consciência quando for apoiar algum candidato no 2Â° turno     Abs"|"Mara Gabrilli"|NA|"
nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Pelo visto jó esqueceu o que seu pai passou nas mãos do PT  é uma vergonha uma senadora dizer que vai votar em branco onde se elegeu com milhares de voto  é muita incoerência "|"Mara Gabrilli"|NA|"sim"|"incoerencia com voto branco"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Se o PeTê e o Loola estão por trós do assassinato que vc disse e da extorsão em cima do seu pai  vc não passa de uma mau caróter e covarde da PIOR espécie  Nojo de gente assim   "|"Mara Gabrilli"|NA|"sim"|"vergonha, hipocrisia, nojo"
